"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Run/Debug","Print detailed output from the last exception","Alt+E","Editing Clojure source code"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"JavaScript Debug","Evaluate","Shift+Alt+E","Editing JavaScript Source"
"Views","Show View ()","Shift+Alt+Q D","In Windows"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Database Tools","Goto Matching Token","Shift+Ctrl+P","Editing SQL"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Server","Run","Ctrl+Alt+R","In Servers View"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Edit","Split the S-expression","Alt+S","Editing Clojure source code"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Navigate","Open Declaration","F3","JavaScript View"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Select Top level S-Expression","Ctrl+Alt+H","Editing Clojure source code"
